  0.714286E-04  0.203653E+08  0.203653E+08  0.264077E+08  0.264066E+08  0.000000E+00  0.203653E+08
  0.117766E-03  0.203627E+08  0.203627E+08  0.251660E+08  0.251631E+08  0.000000E+00  0.203627E+08
  0.194163E-03  0.203557E+08  0.203557E+08  0.220545E+08  0.220472E+08  0.000000E+00  0.203557E+08
  0.320121E-03  0.203371E+08  0.203371E+08  0.152917E+08  0.152755E+08  0.000000E+00  0.203371E+08
  0.527790E-03  0.202901E+08  0.202901E+08  0.545798E+07  0.542760E+07  0.000000E+00  0.202901E+08
  0.870178E-03  0.201803E+08  0.201802E+08  0.105441E+07  0.998329E+06  0.000000E+00  0.201802E+08
  0.143468E-02  0.199482E+08  0.199480E+08  0.158386E+06  0.125991E+06  0.000000E+00  0.199482E+08
  0.236539E-02  0.194959E+08  0.194952E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.194958E+08
  0.389987E-02  0.186791E+08  0.186772E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.186788E+08
  0.441913E-02  0.183976E+08  0.183952E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.183972E+08
  0.500753E-02  0.180794E+08  0.180762E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.180788E+08
  0.567427E-02  0.177214E+08  0.177175E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.177208E+08
  0.642980E-02  0.173210E+08  0.173160E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.173201E+08
  0.728591E-02  0.168751E+08  0.168688E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.168741E+08
  0.825602E-02  0.163810E+08  0.163732E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.163797E+08
  0.935530E-02  0.158360E+08  0.158261E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.158343E+08
  0.106009E-01  0.152372E+08  0.152250E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.152352E+08
  0.120124E-01  0.145824E+08  0.145672E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.145798E+08
  0.136119E-01  0.138694E+08  0.138508E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.138662E+08
  0.154243E-01  0.130970E+08  0.130745E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.130932E+08
  0.174780E-01  0.122660E+08  0.122389E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.122614E+08
  0.198052E-01  0.113797E+08  0.113477E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.113743E+08
  0.224422E-01  0.104463E+08  0.104093E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.104401E+08
  0.254303E-01  0.948055E+07  0.943884E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.947354E+07
  0.288163E-01  0.850584E+07  0.846048E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.849823E+07
  0.326532E-01  0.755429E+07  0.750716E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.754637E+07
  0.370009E-01  0.670667E+07  0.666053E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.669892E+07
  0.419275E-01  0.592042E+07  0.587868E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.591341E+07
  0.475101E-01  0.523755E+07  0.520342E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.523182E+07
  0.538360E-01  0.471432E+07  0.468952E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.471016E+07
  0.610042E-01  0.425540E+07  0.423881E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.425261E+07
  0.681471E-01  0.383523E+07  0.382251E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.383309E+07
  0.752899E-01  0.343573E+07  0.342293E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.343358E+07
  0.824328E-01  0.304167E+07  0.302688E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.303919E+07
  0.895756E-01  0.269017E+07  0.267371E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.268741E+07
  0.967185E-01  0.241388E+07  0.239753E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.241113E+07
  0.103861E+00  0.221359E+07  0.219926E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.221118E+07
  0.111004E+00  0.207106E+07  0.205974E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.206915E+07
  0.118147E+00  0.195710E+07  0.194855E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.195566E+07
  0.125290E+00  0.184347E+07  0.183654E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.184231E+07
  0.132433E+00  0.171933E+07  0.171267E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.171821E+07
  0.139576E+00  0.158767E+07  0.158040E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.158645E+07
  0.146718E+00  0.146052E+07  0.145251E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.145918E+07
  0.153861E+00  0.135148E+07  0.134320E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.135009E+07
  0.161004E+00  0.126723E+07  0.125941E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.126591E+07
  0.168147E+00  0.120461E+07  0.119779E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.120347E+07
  0.175290E+00  0.115426E+07  0.114857E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.115330E+07
  0.182433E+00  0.110646E+07  0.110163E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.110565E+07
  0.189576E+00  0.105488E+07  0.105044E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.105414E+07
