     2    0.10042E+04    0.45688E-01    0.29331E+01
     3    0.94754E+03    0.76605E-01    0.37417E+01
     4    0.89194E+03    0.88202E-01    0.39048E+01
     5    0.84879E+03    0.80185E-01    0.36693E+01
     6    0.81760E+03    0.60807E-01    0.32359E+01
     7    0.79644E+03    0.39728E-01    0.27349E+01
     8    0.78281E+03    0.23372E-01    0.22480E+01
     9    0.77513E+03    0.13698E-01    0.18195E+01
    10    0.77213E+03    0.94401E-02    0.14758E+01
    11    0.77234E+03    0.81218E-02    0.12283E+01
    12    0.77582E+03    0.75965E-02    0.10795E+01
    13    0.78148E+03    0.70809E-02    0.10114E+01
    14    0.78815E+03    0.62751E-02    0.10016E+01
    15    0.79584E+03    0.54959E-02    0.10335E+01
    16    0.80488E+03    0.51189E-02    0.10919E+01
    17    0.81561E+03    0.51386E-02    0.11636E+01
    18    0.82809E+03    0.54418E-02    0.12363E+01
    19    0.84139E+03    0.58664E-02    0.13012E+01
    20    0.85458E+03    0.62818E-02    0.13526E+01
    21    0.86791E+03    0.67319E-02    0.13948E+01
    22    0.88179E+03    0.73019E-02    0.14335E+01
    23    0.89610E+03    0.80674E-02    0.14696E+01
    24    0.91067E+03    0.90880E-02    0.15038E+01
    25    0.92548E+03    0.10369E-01    0.15394E+01
    26    0.94058E+03    0.11897E-01    0.15796E+01
    27    0.95601E+03    0.13633E-01    0.16232E+01
    28    0.97181E+03    0.15544E-01    0.16679E+01
    29    0.98783E+03    0.17642E-01    0.17119E+01
    30    0.10039E+04    0.19940E-01    0.17531E+01
    31    0.10202E+04    0.22420E-01    0.17882E+01
    32    0.10367E+04    0.25061E-01    0.18140E+01
    33    0.10535E+04    0.27876E-01    0.18286E+01
    34    0.10705E+04    0.30881E-01    0.18311E+01
    35    0.10877E+04    0.34087E-01    0.18236E+01
    36    0.11049E+04    0.37503E-01    0.18077E+01
    37    0.11223E+04    0.41138E-01    0.17810E+01
    38    0.11400E+04    0.45001E-01    0.17412E+01
    39    0.11579E+04    0.49110E-01    0.16903E+01
    40    0.11760E+04    0.53485E-01    0.16311E+01
    41    0.11943E+04    0.58141E-01    0.15659E+01
    42    0.12126E+04    0.63075E-01    0.14935E+01
    43    0.12311E+04    0.68278E-01    0.14122E+01
    44    0.12498E+04    0.73742E-01    0.13201E+01
    45    0.12686E+04    0.79460E-01    0.12154E+01
    46    0.12876E+04    0.85426E-01    0.10966E+01
    47    0.13068E+04    0.91646E-01    0.96410E+00
    48    0.13262E+04    0.98131E-01    0.81880E+00
    49    0.13457E+04    0.10489E+00    0.66152E+00
    50    0.13655E+04    0.11193E+00    0.49310E+00
    51    0.13854E+04    0.11927E+00    0.31412E+00
    52    0.14056E+04    0.12689E+00    0.12407E+00
    53    0.14259E+04    0.13481E+00   -0.77797E-01
    54    0.14464E+04    0.14300E+00   -0.29224E+00
    55    0.14671E+04    0.15148E+00   -0.52004E+00
    56    0.14880E+04    0.16024E+00   -0.76175E+00
    57    0.15091E+04    0.16927E+00   -0.10173E+01
    58    0.15303E+04    0.17859E+00   -0.12862E+01
    59    0.15518E+04    0.18818E+00   -0.15684E+01
    60    0.15734E+04    0.19806E+00   -0.18633E+01
    61    0.15952E+04    0.20822E+00   -0.21709E+01
    62    0.16172E+04    0.21866E+00   -0.24913E+01
    63    0.16394E+04    0.22936E+00   -0.28246E+01
    64    0.16619E+04    0.24033E+00   -0.31713E+01
    65    0.16845E+04    0.25154E+00   -0.35314E+01
    66    0.17074E+04    0.26300E+00   -0.39052E+01
    67    0.17304E+04    0.27470E+00   -0.42921E+01
    68    0.17538E+04    0.28663E+00   -0.46915E+01
    69    0.17773E+04    0.29879E+00   -0.51027E+01
    70    0.18012E+04    0.31118E+00   -0.55251E+01
    71    0.18253E+04    0.32380E+00   -0.59582E+01
    72    0.18497E+04    0.33663E+00   -0.64019E+01
    73    0.18744E+04    0.34967E+00   -0.68564E+01
    74    0.18992E+04    0.36290E+00   -0.73218E+01
    75    0.19243E+04    0.37631E+00   -0.77982E+01
    76    0.19496E+04    0.38991E+00   -0.82856E+01
    77    0.19751E+04    0.40367E+00   -0.87839E+01
    78    0.20008E+04    0.41758E+00   -0.92927E+01
    79    0.20267E+04    0.43164E+00   -0.98118E+01
    80    0.20529E+04    0.44583E+00   -0.10341E+02
    81    0.20792E+04    0.46014E+00   -0.10880E+02
    82    0.21058E+04    0.47456E+00   -0.11428E+02
    83    0.21326E+04    0.48908E+00   -0.11984E+02
    84    0.21597E+04    0.50370E+00   -0.12549E+02
    85    0.21871E+04    0.51839E+00   -0.13121E+02
    86    0.22148E+04    0.53315E+00   -0.13701E+02
    87    0.22428E+04    0.54796E+00   -0.14287E+02
    88    0.22710E+04    0.56281E+00   -0.14880E+02
    89    0.22995E+04    0.57769E+00   -0.15479E+02
    90    0.23282E+04    0.59259E+00   -0.16084E+02
    91    0.23572E+04    0.60748E+00   -0.16695E+02
    92    0.23863E+04    0.62236E+00   -0.17311E+02
    93    0.24157E+04    0.63721E+00   -0.17931E+02
    94    0.24453E+04    0.65202E+00   -0.18556E+02
    95    0.24750E+04    0.66677E+00   -0.19185E+02
    96    0.25050E+04    0.68145E+00   -0.19817E+02
    97    0.25352E+04    0.69605E+00   -0.20451E+02
    98    0.25656E+04    0.71055E+00   -0.21088E+02
    99    0.25962E+04    0.72493E+00   -0.21726E+02
   100    0.26270E+04    0.73918E+00   -0.22365E+02
   101    0.26579E+04    0.75330E+00   -0.23005E+02
   102    0.26891E+04    0.76726E+00   -0.23645E+02
